6876 6876
1357 1288 2
1288 1250 1
1250 1179 2
1179 1109 2
1109 1041 2
1041 1076 2
1076 1110 1
1110 1180 2
1180 1146 1
1146 1220 2
1220 1251 1
1251 1289 2
1289 1358 2
1358 1359 2
1359 1430 2
1430 1466 2
1466 1500 2
1500 1565 2
1565 1631 2
1631 1662 2
1662 1694 2
1694 1724 2
1724 1786 2
1786 1814 2
1814 1870 2
1870 1951 3
1951 2030 3
2030 2072 3
2072 2094 3
2094 2140 4
2140 2161 3
2161 2162 4
2162 2206 3
2206 2246 3
2246 2226 3
2226 2285 3
2285 2332 3
2332 2372 2
2372 2412 2
2412 2455 3
2455 2395 3
2395 2351 2
2351 2312 2
2312 2286 2
2286 2247 2
2247 2180 3
2180 2141 2
2141 2096 2
2096 2163 4
2163 2095 3
2095 2074 2
2074 2073 3
2073 2046 3
2046 2031 2
2031 1953 3
1953 1845 4
1845 1759 3
1759 1696 2
1696 1633 2
1633 1604 2
1604 1603 2
1603 1568 1
1568 1664 3
1664 1695 2
1695 1758 2
1758 1815 2
1815 1900 3
1900 2003 4
2003 1952 3
1952 1871 3
1871 1787 3
1787 1726 2
1726 1725 3
1725 1663 3
1663 1632 1
1632 1602 2
1602 1566 1
1566 1533 2
1533 1567 2
1567 1501 2
1501 1467 2
1467 1394 2
1394 1322 2
1322 1323 2
1323 1395 2
1395 1360 2
1360 1431 2
1431 1502 2
1502 1503 2
1503 1432 2
1432 1361 2
1361 1324 1
1324 1290 2
1290 1253 1
1253 1252 2
1252 1221 1
1221 1147 2
1147 1077 2
1077 1078 2
1078 1111 1
1111 1181 2
1181 1222 2
1222 1254 1
1254 1182 2
1182 1148 1
1148 1112 2
1112 1079 1
1079 1042 1
1042 1043 2
1043 978 2
978 945 2
945 1010 2
1010 977 2
977 1009 2
1009 1008 2
1008 944 2
944 912 2
912 976 2
976 975 2
975 974 2
974 911 2
911 850 2
850 788 2
788 760 1
760 703 2
703 673 2
673 619 2
619 556 3
556 538 2
538 481 2
481 450 2
450 376 3
376 347 2
347 426 3
426 480 2
480 537 2
537 591 2
591 618 2
618 672 2
672 643 3
643 617 2
617 555 2
555 505 2
505 479 1
479 425 2
425 375 2
375 299 3
299 244 2
244 189 2
189 160 1
160 102 2
102 17 3
17 52 2
52 103 2
103 133 2
133 18 4
18 53 2
53 104 2
104 161 2
161 191 1
191 277 3
277 246 2
246 190 3
190 245 2
245 300 2
300 327 2
327 377 2
377 400 1
400 427 2
427 482 2
482 506 2
506 507 3
507 451 2
451 401 2
401 348 3
348 328 1
328 278 2
278 217 2
217 162 2
162 105 2
105 78 2
78 19 2
19 20 3
20 54 2
54 21 2
21 55 2
55 22 2
22 23 3
23 79 2
79 108 1
108 134 1
134 193 2
193 248 2
248 192 3
192 247 2
247 219 2
219 164 2
164 107 2
107 106 3
106 163 2
163 218 2
218 279 2
279 301 3
301 329 2
329 378 2
378 349 2
349 402 2
402 452 3
452 483 2
483 508 1
508 559 2
559 560 2
560 594 2
594 509 3
509 484 1
484 429 2
429 428 2
428 379 2
379 350 2
350 302 2
302 303 3
303 351 3
351 330 3
330 280 2
280 249 2
249 220 2
220 194 1
194 135 2
135 80 2
80 24 2
24 25 3
25 81 2
81 136 2
136 195 2
195 221 2
221 250 1
250 304 2
304 352 2
352 305 3
305 252 2
252 251 2
251 196 2
196 138 2
138 109 2
109 165 2
165 137 2
137 82 2
82 26 2
26 56 2
56 27 1
27 28 2
28 83 2
83 84 2
84 139 2
139 166 1
166 197 1
197 253 2
253 306 2
306 353 2
353 380 3
380 432 2
432 433 2
433 511 3
511 563 2
563 623 2
623 649 2
649 596 2
596 650 2
650 710 2
710 711 2
711 767 2
767 768 2
768 712 2
712 651 2
651 597 2
597 598 3
598 541 2
541 513 2
513 512 2
512 540 2
540 487 2
487 453 2
453 434 2
434 354 3
354 307 2
307 254 2
254 198 2
198 140 2
140 85 2
85 29 2
29 30 3
30 110 3
110 57 2
57 31 2
31 32 3
32 86 2
86 111 2
111 141 2
141 200 2
200 256 2
256 309 2
309 310 3
310 257 2
257 201 2
201 142 2
142 87 2
87 33 3
33 58 2
58 112 2
112 168 2
168 202 1
202 258 2
258 332 3
332 383 2
383 406 1
406 457 2
457 515 2
515 600 3
600 601 2
601 625 1
625 680 2
680 738 2
738 797 2
797 860 2
860 924 2
924 986 2
986 1016 2
1016 1051 2
1051 987 2
987 949 1
949 885 2
885 925 2
925 988 2
988 1052 2
1052 1087 2
1087 1017 2
1017 1088 2
1088 1121 1
1121 1193 2
1193 1194 3
1194 1122 2
1122 1157 2
1157 1229 2
1229 1267 2
1267 1299 2
1299 1230 2
1230 1196 2
1196 1158 1
1158 1124 2
1124 1195 2
1195 1123 2
1123 1089 1
1089 1054 1
1054 1053 3
1053 1018 1
1018 950 3
950 926 2
926 861 2
861 798 2
798 828 3
828 770 2
770 739 2
739 714 2
714 654 2
654 602 2
602 543 2
543 516 2
516 458 3
458 435 1
435 384 2
384 356 2
356 333 2
333 282 2
282 223 2
223 169 2
169 113 2
113 59 2
59 60 3
60 61 3
61 114 3
114 170 2
170 203 1
203 259 3
259 283 2
283 334 2
334 385 2
385 436 2
436 489 2
489 517 1
517 565 3
565 603 3
603 655 2
655 681 2
681 740 2
740 799 2
799 862 2
862 927 3
927 951 2
951 989 2
989 928 2
928 990 3
990 1055 2
1055 1090 2
1090 1125 2
1125 1126 2
1126 1159 1
1159 1232 2
1232 1269 1
1269 1335 2
1335 1301 2
1301 1231 2
1231 1197 2
1197 1268 2
1268 1300 2
1300 1372 2
1372 1373 3
1373 1445 2
1445 1478 2
1478 1514 3
1514 1446 2
1446 1406 2
1406 1374 1
1374 1336 2
1336 1302 1
1302 1233 2
1233 1198 1
1198 1161 1
1161 1160 2
1160 1091 2
1091 1092 2
1092 1022 2
1022 953 2
953 887 2
887 831 2
831 774 2
774 718 2
718 659 2
659 606 2
606 570 2
570 522 2
522 461 2
461 492 2
492 440 2
440 410 2
410 439 2
439 386 2
386 360 2
360 313 2
313 336 2
336 312 2
312 359 3
359 311 2
311 226 3
226 144 3
144 172 2
172 143 2
143 225 3
225 285 2
285 335 2
335 358 2
358 408 2
408 438 2
438 409 2
409 460 2
460 521 2
521 568 3
568 491 4
491 544 2
544 569 1
569 658 3
658 684 1
684 773 3
773 801 1
801 865 3
865 886 2
886 930 1
930 1021 3
1021 1056 1
1056 1020 2
1020 1019 2
1019 952 2
952 929 2
929 864 2
864 830 1
830 829 3
829 863 3
863 800 2
800 771 3
771 716 2
716 682 2
682 715 2
715 656 2
656 604 2
604 566 2
566 605 2
605 626 2
626 683 3
683 741 2
741 772 3
772 717 2
717 657 2
657 627 2
627 567 3
567 520 3
520 519 2
519 459 3
459 518 3
518 490 1
490 437 2
437 407 2
407 357 3
357 284 3
284 224 2
224 171 2
171 115 2
115 62 2
62 63 3
63 88 2
88 34 3
34 35 4
35 64 2
64 116 2
116 173 2
173 227 2
227 260 2
260 204 3
204 145 2
145 89 2
89 36 3
36 65 2
65 90 1
90 174 3
174 146 2
146 228 3
228 261 1
261 314 2
314 361 2
361 387 3
387 337 2
337 286 2
286 262 2
262 205 3
205 175 1
175 117 2
117 37 3
37 66 2
66 118 2
118 206 3
206 263 2
263 338 3
338 388 2
388 441 2
441 493 2
493 571 3
571 660 3
660 719 2
719 802 3
802 888 3
888 991 3
991 1057 2
1057 1127 2
1127 1199 2
1199 1270 2
1270 1303 1
1303 1376 2
1376 1375 2
1375 1447 2
1447 1515 2
1515 1581 2
1581 1580 3
1580 1675 3
1675 1771 3
1771 1855 3
1855 1911 2
1911 2015 4
2015 1985 1
1985 1935 2
1935 1910 2
1910 1984 3
1984 1983 3
1983 1909 3
1909 1934 2
1934 1881 2
1881 1827 2
1827 1770 2
1770 1736 2
1736 1673 2
1673 1674 3
1674 1737 2
1737 1793 2
1793 1828 2
1828 1854 2
1854 1738 4
1738 1642 3
1642 1579 3
1579 1543 4
1543 1477 2
1477 1444 3
1444 1405 3
1405 1334 4
1334 1371 2
1371 1443 2
1443 1476 1
1476 1513 2
1513 1578 2
1578 1614 2
1614 1672 2
1672 1641 2
1641 1704 2
1704 1735 2
1735 1792 2
1792 1826 1
1826 1791 2
1791 1769 2
1769 1768 2
1768 1767 2
1767 1702 2
1702 1766 2
1766 1824 2
1824 1851 1
1851 1878 2
1878 1825 2
1825 1852 2
1852 1907 2
1907 1961 2
1961 2012 2
2012 2053 2
2053 2052 2
2052 2011 2
2011 1960 2
1960 1931 1
1931 1906 2
1906 1877 2
1877 1823 2
1823 1790 2
1790 1733 2
1733 1734 2
1734 1670 2
1670 1639 1
1639 1575 2
1575 1638 2
1638 1611 2
1611 1574 1
1574 1573 2
1573 1541 2
1541 1475 2
1475 1508 2
1508 1439 2
1439 1368 2
1368 1297 2
1297 1332 2
1332 1264 2
1264 1265 2
1265 1333 2
1333 1369 2
1369 1440 2
1440 1509 2
1509 1510 2
1510 1441 3
1441 1511 2
1511 1576 2
1576 1612 1
1612 1613 2
1613 1671 2
1671 1703 2
1703 1640 2
1640 1577 2
1577 1542 2
1542 1512 2
1512 1442 2
1442 1370 2
1370 1298 3
1298 1266 2
1266 1192 2
1192 1156 1
1156 1155 2
1155 1086 2
1086 1154 2
1154 1228 2
1228 1191 2
1191 1120 2
1120 1085 1
1085 1050 1
1050 985 2
985 923 2
923 859 2
859 796 2
796 769 2
769 737 2
737 679 2
679 678 2
678 653 1
653 736 3
736 713 1
713 652 2
652 599 2
599 542 2
542 488 2
488 456 2
456 405 2
405 382 2
382 355 2
355 308 2
308 255 2
255 199 2
199 167 2
167 222 2
222 281 2
281 331 2
331 381 2
381 404 1
404 454 2
454 455 2
455 514 2
514 564 2
564 624 2
624 677 2
677 735 2
735 794 2
794 826 2
826 856 1
856 919 2
919 947 1
947 1014 2
1014 1013 2
1013 1082 2
1082 1083 2
1083 1118 1
1118 1188 2
1188 1227 2
1227 1261 1
1261 1329 2
1329 1330 2
1330 1262 2
1262 1189 2
1189 1153 2
1153 1084 2
1084 1048 2
1048 984 2
984 921 2
921 920 2
920 857 2
857 795 2
795 827 2
827 858 1
858 922 2
922 948 1
948 1015 2
1015 1049 2
1049 1119 2
1119 1190 2
1190 1263 2
1263 1331 2
1331 1404 2
1404 1403 3
1403 1438 2
1438 1474 2
1474 1540 2
1540 1610 2
1610 1637 2
1637 1668 3
1668 1700 2
